date,product,category,region,units_sold,sales,cost,promo_flag
2021-01-01,Facewash,Beauty,East,11,331.87,263.9,0
2021-01-01,Shampoo,Health,East,1,9.9,7.25,0
2021-01-01,Toothpaste,Beauty,South,1,29.32,17.46,0
2021-01-01,Lotion,Personal Care,West,9,269.38,181.3,0
2021-01-01,Toothpaste,Personal Care,North,2,60.57,38.97,0
2021-01-01,Lotion,Health,North,11,297.93,165.94,0
2021-01-01,Lotion,Beauty,East,5,99.52,73.41,1
2021-01-01,Facewash,Beauty,North,4,90.26,56.47,0
2021-01-01,Facewash,Beauty,West,11,96.94,65.91,1
2021-01-01,Facewash,Personal Care,South,2,43.66,29.96,0
2021-01-01,Soap,Personal Care,North,7,118.5,91.11,0
2021-01-01,Soap,Health,East,4,102.03,69.64,0
2021-01-01,Soap,Beauty,East,7,253.32,175.58,0
2021-01-01,Soap,Health,East,5,53.02,29.37,0
2021-01-01,Shampoo,Health,North,12,273.03,171.92,0
2021-01-01,Shampoo,Health,South,8,148.91,95.2,0
2021-01-01,Facewash,Beauty,North,4,73.22,58.49,0
2021-01-01,Conditioner,Personal Care,North,5,35.09,20.62,0
2021-01-01,Shampoo,Personal Care,North,11,196.63,140.91,0
2021-01-01,Serum,Health,East,8,287.75,219.15,0
2021-01-01,Lotion,Health,West,12,221.63,170.02,0
2021-01-01,Shampoo,Health,West,8,194.66,107.2,0
2021-01-02,Lotion,Beauty,South,3,36.8,22.84,0
2021-01-02,Soap,Health,East,11,154.15,98.35,0
2021-01-02,Toothpaste,Health,East,8,85.1,54.24,1
2021-01-02,Toothpaste,Beauty,South,1,12.16,7.29,1
2021-01-02,Facewash,Health,North,10,374.65,212.39,0
2021-01-02,Facewash,Health,West,3,20.1,12.97,0
2021-01-02,Toothpaste,Beauty,South,6,238.45,170.78,0
2021-01-02,Conditioner,Beauty,North,10,191.17,141.71,0
2021-01-02,Serum,Health,West,7,178.09,139.25,0
2021-01-02,Facewash,Beauty,West,10,168.52,128.89,0
2021-01-02,Toothpaste,Health,West,14,133.03,96.4,0
2021-01-02,Serum,Beauty,West,6,148.07,99.79,0
2021-01-02,Serum,Health,North,5,172.22,119.05,0
2021-01-02,Facewash,Health,North,3,90.36,68.52,0
2021-01-02,Toothpaste,Beauty,East,5,142.89,82.94,0
2021-01-02,Conditioner,Health,East,4,28.14,20.89,1
2021-01-02,Conditioner,Beauty,East,6,168.85,100.87,0
2021-01-02,Toothpaste,Health,South,14,456.21,342.91,0
2021-01-02,Conditioner,Personal Care,East,13,449.72,358.54,0
2021-01-02,Serum,Beauty,West,2,57.88,36.39,0
2021-01-02,Conditioner,Beauty,South,13,125.34,76.4,0
2021-01-02,Toothpaste,Beauty,East,8,154.63,122.95,0
2021-01-03,Toothpaste,Health,West,14,72.72,41.4,0
2021-01-03,Toothpaste,Beauty,East,3,116.12,87.05,0
2021-01-03,Shampoo,Beauty,West,4,104.61,72.76,1
2021-01-03,Shampoo,Beauty,West,6,228.79,154.55,0
2021-01-03,Serum,Personal Care,West,9,86.76,52.36,0
2021-01-03,Shampoo,Beauty,South,4,108.16,67.09,0
2021-01-03,Shampoo,Personal Care,South,6,236.31,139.54,0
2021-01-03,Soap,Personal Care,South,12,184.63,142.51,0
2021-01-03,Serum,Personal Care,West,12,260.34,189.46,0
2021-01-03,Facewash,Beauty,West,10,337.96,222.19,1
2021-01-03,Toothpaste,Health,West,3,63.26,49.66,0
2021-01-03,Toothpaste,Health,South,3,30.34,20.78,0
2021-01-03,Shampoo,Personal Care,East,11,87.66,62.53,0
2021-01-03,Soap,Health,East,13,505.22,315.54,0
2021-01-03,Facewash,Beauty,North,1,25.56,16.23,1
2021-01-03,Toothpaste,Personal Care,South,14,524.45,381.11,0
2021-01-03,Shampoo,Personal Care,East,4,140.0,78.37,0
2021-01-03,Toothpaste,Health,West,1,26.26,16.75,0
2021-01-03,Lotion,Personal Care,West,5,157.09,90.48,0
2021-01-03,Serum,Beauty,East,8,137.66,82.81,0
2021-01-03,Shampoo,Personal Care,North,12,234.68,170.71,0
2021-01-03,Serum,Personal Care,South,8,241.57,141.63,0
2021-01-03,Lotion,Personal Care,South,11,195.21,140.4,0
2021-01-03,Soap,Health,East,6,147.54,107.81,0
2021-01-03,Conditioner,Health,North,10,253.25,167.46,0
2021-01-03,Lotion,Personal Care,East,14,297.82,188.56,0
2021-01-03,Toothpaste,Beauty,South,13,320.86,218.07,0
2021-01-03,Shampoo,Personal Care,South,9,257.64,182.18,0
2021-01-03,Serum,Health,East,13,288.49,173.86,0
2021-01-03,Shampoo,Health,South,7,113.35,70.27,0
2021-01-03,Shampoo,Health,South,12,260.69,189.46,0
2021-01-03,Conditioner,Beauty,West,3,76.02,48.14,0
2021-01-03,Facewash,Beauty,South,10,331.7,199.53,0
2021-01-03,Facewash,Beauty,North,14,232.09,144.88,0
2021-01-03,Soap,Beauty,South,4,115.22,91.81,1
2021-01-03,Facewash,Beauty,West,6,158.6,102.53,0
2021-01-03,Serum,Beauty,East,1,18.95,10.91,1
2021-01-03,Shampoo,Health,West,9,324.44,248.87,0
2021-01-03,Lotion,Health,West,3,74.39,50.65,0
2021-01-03,Serum,Beauty,South,8,292.79,209.47,0
2021-01-03,Shampoo,Beauty,North,3,21.58,15.7,0
2021-01-03,Serum,Beauty,East,11,235.72,180.26,0
2021-01-03,Toothpaste,Beauty,West,13,248.07,146.7,0
2021-01-03,Shampoo,Health,North,12,167.76,103.9,0
2021-01-03,Soap,Health,West,9,248.43,175.16,0
